year,team,team_id,conf,quad_id,seed,round,kadj_o,kadj_o_rank,kadj_d,kadj_d_rank,kadj_t,kadj_t_rank,badj_o,badj_o_rank,badj_d,badj_d_rank,barthag,barthag_rank,efg%,efg%_rank,efg%d,efgd%_rank,tov%,tov%_rank,tov%d,tov%d_rank,oreb%,oreb%_rank,dreb%,dreb%_rank,ftr,ftr_rank,ftrd,ftrd_rank,2pt%,2pt%_rank,2pt%d,2pt%d_rank,3pt%,3pt%_rank,3pt%d,3pt%d_rank,3ptr,3ptr_rank,3ptrd,3ptrd_rank
2025,Akron,2,MAC,2,13,64,113.749,66,107.176,183,71.4456,16,113.691,62,106.83,186,0.672,101,55.4,33,49.5,114,16.6,148,17.2,177,33.3,78,71.0,142,26.8,334,33.7,203,55.8,35,50.6,171,36.6,52,31.9,75,45.4,52,38.0,152
2025,Alabama,3,SEC,2,2,8,126.598,4,96.6919,31,74.9404,1,127.634,4,96.356,28,0.962,5,56.3,17,47.9,52,16.7,154,13.5,350,34.7,42,70.8,156,40.1,25,33.9,208,59.7,4,48.8,96,35.0,116,30.8,32,46.2,43,35.1,59
2025,Alabama St.,4,SWAC,4,16,64,101.454,271,110.689,256,67.824,142,100.521,282,109.612,246,0.27,274,47.1,327,50.3,150,13.2,5,18.6,93,28.3,230,68.9,249,29.9,274,38.7,308,45.4,343,50.4,158,32.9,224,33.4,160,42.9,85,39.5,206
2025,American,6,Pat,2,16,68,102.095,253,108.071,205,63.5548,349,101.22,268,107.422,198,0.335,244,51.8,121,52.1,245,16.8,158,17.6,151,23.8,335,72.6,67,29.5,291,34.1,214,51.1,177,53.1,270,35.1,106,33.6,171,44.8,58,35.7,80
2025,Arizona,8,B12,2,4,16,122.567,13,96.8244,32,69.9324,54,123.94,10,96.468,30,0.947,9,52.9,83,48.6,79,16.2,119,16.6,221,35.9,19,71.5,112,36.6,73,29.2,81,55.1,46,47.2,43,32.4,250,33.6,171,34.6,295,41.9,285
2025,Arkansas,10,SEC,3,10,16,112.943,73,95.2503,20,69.4097,68,111.898,83,95.449,22,0.862,43,52.7,91,48.3,62,16.5,136,17.5,154,27.6,249,71.7,101,35.5,109,29.4,88,54.4,62,48.5,86,33.3,204,31.9,75,36.7,242,39.5,206
2025,Auburn,12,SEC,4,1,4,128.505,1,93.4663,12,67.6684,153,129.049,1,93.653,12,0.976,3,55.7,26,46.0,11,13.4,7,17.4,166,34.3,53,69.7,214,33.5,168,39.2,318,56.1,31,47.2,43,36.8,42,29.2,5,40.6,139,34.8,51
2025,Baylor,14,B12,2,9,32,120.886,16,99.7268,58,64.5974,319,120.5,17,99.276,58,0.903,27,51.5,139,51.2,202,16.1,107,18.8,85,35.6,25,68.8,256,31.0,244,33.5,197,51.2,169,49.8,132,34.7,131,35.4,279,40.2,150,40.8,254
2025,Bryant,21,AE,4,15,64,106.725,178,105.547,148,72.5242,7,105.753,190,105.34,152,0.511,154,51.0,166,47.7,44,16.5,136,16.4,239,34.2,54,71.2,130,30.4,265,30.0,106,51.5,162,47.3,46,33.4,198,32.2,87,34.8,286,36.0,90
2025,BYU,25,B12,2,6,16,123.05,12,100.654,68,67.3028,181,125.443,7,99.09,53,0.938,14,57.2,7,50.6,169,17.6,212,17.2,177,33.3,78,73.9,31,30.2,270,29.5,91,58.6,6,49.3,116,37.1,33,34.8,246,48.3,16,44.4,332
2025,Clemson,33,ACC,1,5,64,118.69,24,94.7724,15,64.3278,327,118.345,24,94.85,17,0.927,21,53.6,67,48.9,90,15.7,82,20.1,42,33.7,69,70.1,191,28.2,318,27.6,48,52.3,131,49.3,116,37.2,31,32.2,87,38.4,186,38.3,161
2025,Colorado St.,39,MWC,3,12,32,116.276,44,98.977,49,66.0287,252,116.879,34,98.6,46,0.876,38,55.8,24,48.5,73,17.4,202,16.7,211,26.4,281,74.7,17,31.8,208,33.6,200,56.5,26,47.7,56,36.6,52,33.1,129,42.8,89,37.9,148
2025,Connecticut,40,BE,3,8,32,121.965,14,102.633,94,63.7849,344,121.595,16,102.01,92,0.883,35,55.5,30,48.3,62,17.1,179,15.5,297,35.6,25,72.6,67,30.6,256,40.0,333,57.3,18,46.0,17,35.4,90,35.1,264,42.6,90,34.2,38
2025,Creighton,43,BE,4,9,32,116.968,35,98.2653,43,67.1073,192,117.334,32,98.241,43,0.885,33,55.8,24,47.0,27,18.1,248,11.7,361,26.9,269,72.8,59,28.5,313,16.9,1,60.5,2,45.8,13,33.9,177,32.7,114,49.0,11,35.2,63
2025,Drake,48,MVC,3,11,32,112.641,76,98.498,46,58.8833,364,112.538,72,98.466,44,0.823,58,53.8,59,51.7,231,18.6,284,22.1,10,36.0,18,74.2,24,43.0,11,35.8,255,54.6,56,54.3,305,35.0,116,31.8,69,36.8,239,39.1,195
2025,Duke,50,ACC,2,1,4,127.999,2,89.847,4,65.803,266,128.453,2,91.272,4,0.981,2,57.4,5,44.5,3,14.4,22,17.7,138,35.2,36,73.5,40,32.1,204,25.4,23,58.0,9,43.4,3,37.7,22,30.9,36,45.4,52,37.9,148
2025,Florida,55,SEC,3,1,1,127.938,3,92.1126,7,69.5912,62,127.699,3,94.006,13,0.971,4,55.0,37,45.3,7,15.0,38,17.0,187,38.1,8,71.2,130,32.6,189,33.0,181,56.4,27,45.9,15,35.5,86,29.6,8,43.6,76,37.3,122
2025,Georgia,65,SEC,1,9,64,115.468,52,96.1035,26,66.4963,220,115.923,46,95.771,23,0.9,30,52.5,97,47.2,31,18.8,291,18.0,119,36.1,16,68.2,283,39.8,28,30.4,115,53.8,82,47.8,59,33.5,193,30.9,36,36.8,239,40.6,245
2025,Gonzaga,68,WCC,1,8,32,123.611,9,96.3216,28,70.2431,47,123.304,12,96.427,29,0.944,11,55.7,26,47.5,39,13.2,5,18.2,110,32.7,95,73.6,35,30.9,250,28.6,69,57.8,10,49.1,107,34.4,149,30.2,15,33.5,314,40.6,245
2025,Grand Canyon,69,WAC,3,13,64,107.859,149,100.641,67,71.5151,14,108.532,127,99.471,60,0.732,83,51.2,151,47.0,27,18.4,271,20.6,32,32.5,100,71.4,116,43.9,8,32.2,160,53.2,100,46.4,25,31.6,290,32.1,82,33.6,312,34.4,43
2025,High Point,252,BSth,1,13,64,118.496,25,109.181,227,66.4904,222,117.709,29,108.136,213,0.726,85,56.4,13,49.1,95,15.3,51,16.5,227,34.0,60,70.1,191,37.6,54,36.3,270,57.4,15,48.9,100,36.6,52,32.9,122,39.0,174,36.0,90
2025,Houston,76,B12,1,1,2,123.269,11,87.8253,2,61.5016,360,124.791,9,87.987,1,0.982,1,52.7,91,44.9,4,14.6,27,21.7,17,36.1,16,70.7,159,28.2,318,34.1,214,49.0,269,43.9,5,39.8,4,30.9,36,34.5,296,43.1,310
2025,Illinois,78,B10,1,6,32,121.633,15,98.0448,40,71.4016,18,122.207,15,98.489,45,0.923,23,52.3,104,47.3,33,15.8,89,12.7,360,36.0,18,73.7,33,34.6,132,26.8,37,57.3,18,46.1,19,31.1,318,33.3,153,46.9,31,30.4,3
2025,Iowa St.,83,B12,4,3,32,119.483,20,92.4824,10,68.6373,102,118.876,20,92.347,8,0.948,8,54.6,50,48.4,67,16.9,167,21.8,16,32.2,111,71.6,107,38.5,40,28.9,76,55.1,46,47.5,52,35.8,71,33.2,140,36.9,234,40.7,249
2025,Kansas,86,B12,3,7,64,116.021,48,92.761,11,68.4297,113,116.11,43,93.045,10,0.927,21,53.1,79,46.2,16,16.7,154,15.6,287,30.4,169,72.5,69,24.3,355,28.0,54,53.4,90,46.1,19,35.2,102,30.9,36,34.3,297,40.7,249
2025,Kentucky,90,SEC,1,3,16,123.868,8,99.6111,57,71.013,24,123.862,11,98.714,49,0.931,17,56.0,21,50.4,156,15.2,47,14.0,342,28.7,221,74.1,27,35.9,96,31.0,128,55.9,33,53.7,290,37.4,26,30.8,32,41.7,115,43.5,317
2025,Liberty,95,CUSA,2,12,64,112.496,80,98.9632,48,65.3931,284,112.808,68,98.229,42,0.831,56,58.4,2,45.9,10,15.3,51,16.9,192,18.9,361,72.0,87,30.9,250,26.3,30,57.7,13,48.0,63,39.5,5,28.0,3,47.7,23,34.4,43
2025,Lipscomb,96,ASun,4,14,64,112.711,75,103.225,100,65.9466,258,110.718,97,104.041,125,0.672,101,55.9,22,48.6,79,14.4,22,15.9,270,24.0,332,73.5,40,31.4,227,22.3,8,56.7,21,49.9,138,36.7,46,31.0,40,47.4,27,37.2,119
2025,Louisville,102,ACC,4,8,64,118.177,27,95.5301,21,68.826,90,118.342,25,94.659,16,0.929,19,53.4,72,49.2,100,16.5,136,18.6,93,32.2,111,72.8,59,34.5,137,26.8,37,57.0,19,48.3,79,33.0,218,33.7,177,48.1,19,39.7,214
2025,Marquette,107,BE,4,7,64,117.695,32,96.1073,27,67.6373,156,116.667,40,96.533,31,0.898,31,52.0,116,49.9,133,13.5,8,21.5,20,30.1,177,69.0,245,26.1,342,30.2,109,54.9,49,51.3,200,32.5,246,31.8,69,46.3,40,39.8,218
2025,Maryland,109,B10,3,4,16,118.089,28,91.7546,6,69.8717,57,117.835,28,92.041,6,0.945,10,53.8,59,47.0,27,14.5,24,20.2,40,31.0,152,72.8,59,32.9,182,25.9,28,52.7,114,47.6,54,37.2,31,30.7,28,35.5,271,35.8,82
2025,McNeese St.,248,SInd,1,12,32,114.303,63,100.611,66,65.427,283,113.414,65,100.742,74,0.796,64,53.3,75,47.5,39,16.2,119,21.6,18,34.7,42,68.7,261,35.7,103,31.4,139,53.2,100,46.9,36,35.6,82,32.2,87,36.7,242,46.6,351
